  0.893074237371      0.231699656017E-02 -0.578807804937E-01  0.131079941738E-01
  0.231699656017E-02  0.669778012698E-01 -0.158551879155E-03 -0.811878380024E-02
 -0.578807804937E-01 -0.158551879155E-03  0.354927548359E-01 -0.308272840142E-02
  0.131079941738E-01 -0.811878380024E-02 -0.308272840142E-02  0.445520652328E-02
